Type,Family id,Family name,Target id,Target name,Subunits,Target systematic name,Target abbreviated name,synonyms,HGNC id,HGNC symbol,HGNC name,Human genetic localisation,Human nucleotide RefSeq,Human protein RefSeq,Human SwissProt,Human Entrez Gene,RGD id,RGD symbol,RGD name,Rat genetic localisation,Rat nucleotide RefSeq,Rat protein RefSeq,Rat SwissProt,Rat Entrez Gene,MGI id,MGI symbol,MGI name,Mouse genetic localisation,Mouse nucleotide RefSeq,Mouse protein RefSeq,Mouse SwissProt,Mouse Entrez Gene
vgic,70,CatSper and Two-Pore channels,390,CatSper3,,,,Cation channel of sperm; 4|CatSper4|CACRC|cation channel,20819,CATSPER3,cation channel sperm associated 3,5q31.1,NM_178019,NP_821138,Q86XQ3,347732,1305700,Catsper3,"cation channel, sperm associated 3",17p14,NM_001106101,NP_001099571,,290989,MGI:1924106,Catsper3,"cation channel, sperm associated 3",13 B2,NM_001252487|NM_029772|NM_001252488,NP_001239416|NP_084048|NP_001239417,Q80W99,76856
vgic,70,CatSper and Two-Pore channels,391,CatSper4,,,,"CatSper3|cation channel, sperm associated 4|cation channel",23220,CATSPER4,cation channel sperm associated 4,1p35.3,NM_198137,NP_937770,Q7RTX7,378807,1565213,Catsper4,"cation channel, sperm associated 4",5q36,,,,362623,MGI:3043288,Catsper4,"cation channel, sperm associated 4",4 D3,NM_177866|NM_001130030,NP_808534|NP_001123502,Q8BVN3,329954
vgic,70,CatSper and Two-Pore channels,392,TPC1,,,,two pore calcium channel protein 1|two pore channel 1|voltage-gated Ca channel,18182,TPCN1,two pore segment channel 1,12q24.13,NM_017901,NP_060371,Q9ULQ1,53373,708494,Tpcn1,two pore segment channel 1,12q16,NM_139332,NP_647548,Q9WTN5,246215,MGI:2182472,Tpcn1,two pore channel 1,5 F,NM_145853,NP_665852,Q9EQJ0,252972
vgic,70,CatSper and Two-Pore channels,393,TPC2,,,,two pore calcium channel protein 2,20820,TPCN2,two pore segment channel 2,11q13.2,NM_139075,NP_620714,Q8NHX9,219931,1311779,Tpcn2,two pore segment channel 2,1q42,NM_001107566,NP_001101036,,309139,MGI:2385297,Tpcn2,two pore segment channel 2,7 F5,NM_146206,NP_666318,Q8BWC0,233979
vgic,71,Cyclic nucleotide-regulated channels,394,CNGA1,,,,"CNCG|CNCG1|cGMP-gated cation channel alpha-1|CNG channel alpha-1|cyclic nucleotide-gated channel, photoreceptor|rod photoreceptor cGMP-gated channel subunit alpha|CNG1",2148,CNGA1,cyclic nucleotide gated channel alpha 1,4p12,NM_000087,NP_000078,P29973,1259,621815,Cnga1,cyclic nucleotide gated channel alpha 1,14p11,NM_053497,NP_445949,Q62927,85259,MGI:88436,Cnga1,cyclic nucleotide gated channel alpha 1,5 C3.2,NM_007723,NP_031749,P29974,12788
vgic,71,Cyclic nucleotide-regulated channels,395,CNGA2,,,,CNG&alpha;3|CNG2|CNCA|Cncg4|CNG channel alpha-2|cyclic nucleotide gated channel 4|cyclic nucleotide-gated olfactory channel subunit OCNC1,2149,CNGA2,cyclic nucleotide gated channel alpha 2,Xq27,NM_005140,NP_005131,Q16280,1260,2367,Cnga2,cyclic nucleotide gated channel alpha 2,Xq37,NM_012928,NP_037060,Q00195,25411,MGI:108040,Cnga2,cyclic nucleotide gated channel alpha 2,X A6,NM_007724,NP_031750,Q62398,12789
vgic,71,Cyclic nucleotide-regulated channels,396,CNGA3,,,,CCNC1|ACHM2|CNCG3|CCNCa,2150,CNGA3,cyclic nucleotide gated channel alpha 3,2q11.2,NM_001298,NP_001073347,Q16281,1261,70948,Cnga3,cyclic nucleotide gated channel alpha 3,9q21,NM_053495,NP_445947,,85257,MGI:1341818,Cnga3,cyclic nucleotide gated channel alpha 3,1 B,NM_009918,NP_034048,Q9JJZ8,12790
vgic,71,Cyclic nucleotide-regulated channels,397,CNGA4,,,,CNG5|CNGB2|CNCA2|cyclic nucleotide gated channel beta 2|Cgn2|CNG channel alpha-4|CNG4|cyclic nucleotide-gated olfactory channel subunit OCNC2|olfactory cyclic nucleotide-gated channel,2152,CNGA4,cyclic nucleotide gated channel alpha 4,11p15.4,NM_001037329,NP_001032406,Q8IV77,1262,619844,Cnga4,cyclic nucleotide gated channel alpha 4,1q33,NM_053496,NP_445948,Q64359,85258,MGI:2664099,Cnga4,cyclic nucleotide gated channel alpha 4,7 E3,NM_001033317,NP_001028489,Q3UW12,233649
vgic,71,Cyclic nucleotide-regulated channels,398,CNGB1,,,,CNG4|CNCG3L|CNGB1B|GAR1|GARP|glutamic acid-rich protein|CNCG2|CNG&beta;1,2151,CNGB1,cyclic nucleotide gated channel beta 1,16q13,NM_001297,NP_001288,Q14028,1258,621809,Cngb1,cyclic nucleotide gated channel beta 1,19p13,NM_031809|AJ000496|AF068572,NP_113997,,83686,MGI:2664102,Cngb1,cyclic nucleotide gated channel beta 1,8 D1,NM_001195413|NM_145601,,,333329
vgic,71,Cyclic nucleotide-regulated channels,399,CNGB3,,,,CCNC2|CNG&beta;2|CNG6|ACHM3|achromatopsia (rod monochromacy) 3,2153,CNGB3,cyclic nucleotide gated channel beta 3,8q21-q22,NM_019098,NP_061971,Q9NQW8,54714,1565364,Cngb3,cyclic nucleotide gated channel beta 3,5q13,,,,500418,MGI:1353562,Cngb3,cyclic nucleotide gated channel beta 3,4 A3,NM_013927,NP_038955,Q9JJZ9,30952
vgic,71,Cyclic nucleotide-regulated channels,400,HCN1,,,,"BCNG1|HAC2|hyperpolarization activated cyclic nucleotide-gated potassium channel 1|hyperpolarization-activated, cyclic nucleotide-gated K+ 1|hyperpolarization-activated",4845,HCN1,hyperpolarization activated cyclic nucleotide gated potassium channel 1,5p12,NM_021072,NP_066550,O60741,348980,620688,Hcn1,hyperpolarization-activated cyclic nucleotide-gated potassium channel 1,2q15,NM_053375,NP_445827,Q9JKB0,84390,MGI:1096392,Hcn1,"hyperpolarization-activated, cyclic nucleotide-gated K+ 1",13 D2.3,NM_010408,NP_034538,O88704,15165
vgic,71,Cyclic nucleotide-regulated channels,401,HCN2,,,,"BCNG2|HAC1|hyperpolarization activated cyclic nucleotide gated potassium channel 2|hyperpolarization-activated, cyclic nucleotide-gated K+ 2|hyperpolarization-activated",4846,HCN2,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2,19p13.3,NM_001194,NP_001185,Q9UL51,610,620689,Hcn2,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2,7q11,NM_053684,NP_446136,Q9JKA9,114244,MGI:1298210,Hcn2,"hyperpolarization-activated, cyclic nucleotide-gated K+ 2",10 C1,NM_008226,NP_032252,O88703,15166
vgic,71,Cyclic nucleotide-regulated channels,402,HCN3,,,,"BCNG4|HAC3|hyperpolarization activated cyclic nucleotide-gated potassium channel 3|hyperpolarization-activated, cyclic nucleotide-gated K+ 3|hyperpolarization-activated",19183,HCN3,hyperpolarization activated cyclic nucleotide gated potassium channel 3,1q22,NM_020897,NP_065948,Q9P1Z3,57657,620691,Hcn3,hyperpolarization-activated cyclic nucleotide-gated potassium channel 3,2q34,NM_053685,NP_446137,Q9JKA8,114245,MGI:1298211,Hcn3,"hyperpolarization-activated, cyclic nucleotide-gated K+ 3",3 F2,NM_008227,NP_032253,O88705,15168
vgic,71,Cyclic nucleotide-regulated channels,403,HCN4,,,,BCNG3|HAC4|hyperpolarization-activated,16882,HCN4,hyperpolarization activated cyclic nucleotide gated potassium channel 4,15q24-q25,NM_005477,NP_005468,Q9Y3Q4,10021,71065,Hcn4,hyperpolarization activated cyclic nucleotide-gated potassium channel 4,8q24,NM_021658,NP_067690,Q9JKA7,59266,MGI:1298209,Hcn4,"hyperpolarization-activated, cyclic nucleotide-gated K+ 4",9 C,NM_001081192,NP_001074661,O70507,330953
vgic,74,Inwardly rectifying potassium channels,429,K<sub>ir</sub>1.1,,,,"ROMK|ROMK1|ROMK2|ROMK3|KAB-1|ATP-regulated potassium channel ROM-K|ATP-sensitive inward rectifier potassium channel 1|potassium channel, inwardly rectifying subfamily J, member 1|potassium inwardly-rectifying channel",6255,KCNJ1,potassium voltage-gated channel subfamily J member 1,11q24,NM_153764|NM_000220,NP_722448|NP_000211,P48048,3758,2957,Kcnj1,potassium voltage-gated channel subfamily J member 1,8q21,NM_017023|L29403|AF081367,NP_058719,P35560,24521,MGI:1927248,Kcnj1,"potassium inwardly-rectifying channel, subfamily J, member 1",9 A4,NM_019659,NP_062633,O88335,56379
vgic,74,Inwardly rectifying potassium channels,430,K<sub>ir</sub>2.1,,,,"IRK1|RBL-IRK1|Kcnf1|potassium channel, inwardly rectifying subfamily J, member 2|potassium inwardly-rectifying channel",6263,KCNJ2,potassium voltage-gated channel subfamily J member 2,17q23.1-24.2,NM_000891,NP_000882,P63252,3759,61968,Kcnj2,potassium voltage-gated channel subfamily J member 2,10q32.1,NM_017296,NP_058992,Q64273,29712,MGI:104744,Kcnj2,"potassium inwardly-rectifying channel, subfamily J, member 2",11 E2,NM_008425,NP_032451,P35561,16518
vgic,74,Inwardly rectifying potassium channels,431,K<sub>ir</sub>2.2,,,,"IRK2|MB-IRK2|KCNJN1|ATP-sensitive inward rectifier potassium channel 12|RB-IRK2|potassium channel, inwardly rectifying subfamily J, member 12|potassium inwardly-rectifying channel",6258,KCNJ12,potassium voltage-gated channel subfamily J member 12,17p11.1,NM_021012,NP_066292,Q14500,3768,621660,Kcnj12,potassium voltage-gated channel subfamily J member 12,10q22,NM_053981,NP_446433,P52188,117052,MGI:108495,Kcnj12,"potassium inwardly-rectifying channel, subfamily J, member 12",11 B2,NM_010603,NP_034733,P52187,16515
vgic,74,Inwardly rectifying potassium channels,432,K<sub>ir</sub>2.3,,,,"BIR11|BIRK2|IRK3|MB-IRK3|brain inwardly rectifying K(+) channel 2|inward rectifier potassium channel 4|Kcnf2|potassium inwardly-rectifying channel, subfamily J, member 4|potassium channel, inwardly rectifying subfamily J, member 4|potassium inwardly-rectifying channel",6265,KCNJ4,potassium voltage-gated channel subfamily J member 4,22q13.1,NM_152868,NP_690607,P48050,3761,621436,Kcnj4,potassium voltage-gated channel subfamily J member 4,7q34,NM_053870,NP_446322,P52190,116649,MGI:104743,Kcnj4,"potassium inwardly-rectifying channel, subfamily J, member 4",15 E1,NM_008427,NP_032453,P52189,16520
vgic,74,Inwardly rectifying potassium channels,433,K<sub>ir</sub>2.4,,,,"IRK4|ATP-sensitive inward rectifier potassium channel 14|potassium channel, inwardly rectifying subfamily J, member 14|potassium inwardly-rectifying channel",6260,KCNJ14,potassium voltage-gated channel subfamily J member 14,19q13.1-13.3,NM_013348,NP_037480,Q9UNX9,3770,628872,Kcnj14,potassium voltage-gated channel subfamily J member 14,1q22,NM_170718,NP_733836,O70596,276720,MGI:2384820,Kcnj14,"potassium inwardly-rectifying channel, subfamily J, member 14",7 B4,NM_145963,NP_666075,Q8JZN3,211480
vgic,74,Inwardly rectifying potassium channels,434,K<sub>ir</sub>3.1,,,,"GIRK1|G protein-activated inward rectifier potassium channel 1|potassium channel subunit Kir3.1 type 3 delta|Kcnf3|potassium channel, inwardly rectifying subfamily J, member 3|potassium inwardly-rectifying channel",6264,KCNJ3,potassium voltage-gated channel subfamily J member 3,2q24.1,NM_002239,NP_002230,P48549,3760,2958,Kcnj3,potassium voltage-gated channel subfamily J member 3,3,NM_031610,NP_113798,P63251,50599,MGI:104742,Kcnj3,"potassium inwardly-rectifying channel, subfamily J, member 3",2 C1.1,NM_008426,NP_032452,P63250,16519
vgic,74,Inwardly rectifying potassium channels,435,K<sub>ir</sub>3.2,,,,"GIRK2|BIR1|KATP2|KCNJ7|G protein-activated inward rectifier potassium channel 2|inward rectifier K(+) channel Kir3.2|potassium channel, inwardly rectifying subfamily J, member 6|potassium inwardly-rectifying channel",6267,KCNJ6,potassium voltage-gated channel subfamily J member 6,21q22.13-22.2,NM_002240,NP_002231,P48051,3763,2959,Kcnj6,potassium voltage-gated channel subfamily J member 6,11q11,NM_013192,NP_037324,P48550,25743,MGI:104781,Kcnj6,"potassium inwardly-rectifying channel, subfamily J, member 6",16 C4,NM_001025584|NM_001025585|NM_010606|NM_001025590,NP_001020755|NP_001020756|NP_034736|NP_001020761,P48542,16522
vgic,74,Inwardly rectifying potassium channels,436,K<sub>ir</sub>3.3,,,,"GIRK3|G protein-activated inward rectifier potassium channel 3|inward rectifier K(+) channel Kir3.3|potassium channel, inwardly rectifying subfamily J, member 9|potassium inwardly-rectifying channel",6270,KCNJ9,potassium voltage-gated channel subfamily J member 9,1q21-23,NM_004983,NP_004974,Q92806,3765,621440,Kcnj9,potassium voltage-gated channel subfamily J member 9,13q24,NM_053834,NP_446286,Q63511,116560,MGI:108007,Kcnj9,"potassium inwardly-rectifying channel, subfamily J, member 9",1 H3,NM_008429,NP_032455,P48543,16524
vgic,74,Inwardly rectifying potassium channels,437,K<sub>ir</sub>3.4,,,,"CIR|GIRK4|LQT13|cardiac inward rectifier|G protein-activated inward rectifier potassium channel 4|heart KATP channel|inward rectifier K(+) channel Kir3.4|IKACh|KATP1|potassium channel, inwardly rectifying subfamily J, member 5|potassium inwardly-rectifying channel",6266,KCNJ5,potassium voltage-gated channel subfamily J member 5,11q24,NM_000890,NP_000881,P48544,3762,61971,Kcnj5,potassium voltage-gated channel subfamily J member 5,8q21,NM_017297,NP_058993,P48548,29713,MGI:104755,Kcnj5,"potassium inwardly-rectifying channel, subfamily J, member 5",9 A4,NM_010605,NP_034735,P48545,16521
vgic,74,Inwardly rectifying potassium channels,438,K<sub>ir</sub>4.1,,,,"BIR10|Kir1.2|ATP-sensitive inward rectifier potassium channel 10|ATP-sensitive inward rectifier potassium channel KAB-2|BIRK1|brain-specific inwardly rectifying K(+) channel 1|inward rectifier K(+) channel Kir4.1|potassium channel, inwardly rectifying subfamily J, member 10|potassium inwardly-rectifying channel",6256,KCNJ10,potassium voltage-gated channel subfamily J member 10,1q22-q23,NM_002241,NP_002232,P78508,3766,61822,Kcnj10,potassium voltage-gated channel subfamily J member 10,13q24,NM_031602,NP_113790,P49655,29718,MGI:1194504,Kcnj10,"potassium inwardly-rectifying channel, subfamily J, member 10",1 H3,NM_001039484,NP_001034573,Q9JM63,16513
vgic,74,Inwardly rectifying potassium channels,439,K<sub>ir</sub>4.2,,,,"IRKK|ATP-sensitive inward rectifier potassium channel 15|inward rectifier K(+) channel Kir4.2|Kir1.3|potassium channel, inwardly rectifying subfamily J, member 15|potassium inwardly-rectifying channel",6261,KCNJ15,potassium voltage-gated channel subfamily J member 15,21q22.2,NM_170736,NP_733932,Q99712,3772,621662,Kcnj15,potassium voltage-gated channel subfamily J member 15,11q11,NM_133321,NP_579855,Q91ZF1,170847,MGI:1310000,Kcnj15,"potassium inwardly-rectifying channel, subfamily J, member 15",16 C4,NM_001039056|NM_001039057,NP_001034145|NP_001034146,O88932,16516
vgic,74,Inwardly rectifying potassium channels,440,K<sub>ir</sub>5.1,,,,"BIR9|inward rectifier K(+) channel Kir5.1|inward rectifier potassium channel 16|potassium channel, inwardly rectifying subfamily J, member 16|potassium inwardly-rectifying channel",6262,KCNJ16,potassium voltage-gated channel subfamily J member 16,17q23.1-24.2,NM_018658,NP_061128,Q9NPI9,3773,61824,Kcnj16,potassium voltage-gated channel subfamily J member 16,10q32.1,NM_053314,NP_445766,P52191,29719,MGI:1314842,Kcnj16,"potassium inwardly-rectifying channel, subfamily J, member 16",11 E2,NM_010604,NP_034734,Q9Z307,16517
vgic,74,Inwardly rectifying potassium channels,441,K<sub>ir</sub>6.1,,,,"uKATP-1|ATP-sensitive inward rectifier potassium channel 8|inward rectifier K(+) channel Kir6.1|inwardly rectifier K(+) channel Kir6.1|gnite|slmbr|sltr|potassium channel, inwardly rectifying subfamily J, member 8|potassium inwardly-rectifying channel",6269,KCNJ8,potassium voltage-gated channel subfamily J member 8,12p11.23,NM_004982,NP_004973,Q15842,3764,2960,Kcnj8,potassium voltage-gated channel subfamily J member 8,4q44,NM_017099,NP_058795,Q63664,25472,MGI:1100508,Kcnj8,"potassium inwardly-rectifying channel, subfamily J, member 8",6 G2,NM_008428,NP_032454,P97794,16523
vgic,74,Inwardly rectifying potassium channels,442,K<sub>ir</sub>6.2,,,,"BIR|ATP-sensitive inward rectifier potassium channel 11|inward rectifier K(+) channel Kir6.2|K<sub>ATP</sub>-&beta;|potassium inwardly rectifying channel, subfamily J, member 11|potassium inwardly-rectifying channel, subfamily J, member 11|potassium channel, inwardly rectifying subfamily J, member 11|potassium inwardly rectifying channel",6257,KCNJ11,potassium voltage-gated channel subfamily J member 11,11p15.1,NM_000525,NP_000516,Q14654,3767,69247,Kcnj11,potassium voltage-gated channel subfamily J member 11,1q22,NM_031358,NP_112648,P70673,83535,MGI:107501,Kcnj11,"potassium inwardly rectifying channel, subfamily J, member 11",7 B3,NM_010602,NP_034732,Q61743,16514
vgic,74,Inwardly rectifying potassium channels,443,K<sub>ir</sub>7.1,,,,"IRK13|Kir1.4|inward rectifier potassium channel 13|inward rectifier K(+) channel Kir7.1|potassium channel, inwardly rectifying subfamily J, member 13|potassium inwardly-rectifying channel",6259,KCNJ13,potassium voltage-gated channel subfamily J member 13,2q37,NM_002242,NP_002233,O60928,3769,621661,Kcnj13,potassium voltage-gated channel subfamily J member 13,9q35,NM_053608,NP_446060,O70617,94341,MGI:3781032,Kcnj13,"potassium inwardly-rectifying channel, subfamily J, member 13",1D1,NM_001110227,NP_001103697,P86046,100040591
vgic,125,Ryanodine receptors,747,RyR1,,,,CCO|MHS|MHS1|RYR|calcium release channel isoform 1|skrr|ryanodine receptor 1 (skeletal)|ryanodine receptor 1,10483,RYR1,ryanodine receptor 1,19q13.1,,,P21817,6261,1586637,Ryr1,ryanodine receptor 1,1q21,,,F1LMY4,114207,MGI:99659,Ryr1,"ryanodine receptor 1, skeletal muscle",7 A2-B3,,,E9PZQ0,20190
vgic,125,Ryanodine receptors,748,RyR2,,,,"ARVD2|cardiac muscle ryanodine receptor|cardiac muscle ryanodine receptor-calcium release channel|ryanodine receptor 2|ryanodine receptor 2, cardiac|RYR-2|arrhythmogenic right ventricular dysplasia 2|VTSIP|ryanodine receptor 2 (cardiac)",10484,RYR2,ryanodine receptor 2,1q43,,,Q92736,6262,620314,Ryr2,ryanodine receptor 2,17q12.1,,,B0LPN4,,MGI:99685,Ryr2,"ryanodine receptor 2, cardiac",13 A1-A2,,,Q9ERN6,20191
vgic,125,Ryanodine receptors,749,RyR3,,,,ryanodine receptor 3|calcium release channel isoform 3,10485,RYR3,ryanodine receptor 3,15q14-q15,,,Q15413,6263,68952,Ryr3,ryanodine receptor 3,3q34,,,Q9R273,170546,MGI:99684,Ryr3,ryanodine receptor 3,2 E5-F3,,,E9PW34,20192
vgic,78,Transient Receptor Potential channels,485,TRPA1,,,,ANKTM1|TRPN1|ankyrin-like with transmembrane domains 1|transient receptor potential cation channel,497,TRPA1,transient receptor potential cation channel subfamily A member 1,8q13,NM_007332,NP_015628,O75762,8989,1303284,Trpa1,"transient receptor potential cation channel, subfamily A, member 1",5q11,NM_207608,NP_997491,Q6RI86,312896,MGI:3522699,Trpa1,"transient receptor potential cation channel, subfamily A, member 1",1 A3,NM_177781,NP_808449,Q8BLA8,277328
vgic,78,Transient Receptor Potential channels,486,TRPC1,,,,TRP1|short transient receptor potential channel 1|transient receptor potential cation channel,12333,TRPC1,transient receptor potential cation channel subfamily C member 1,3q22-24,NM_003304,NP_003295,P48995,7220,619783,Trpc1,"transient receptor potential cation channel, subfamily C, member 1",8q31,NM_053558,NP_446010,Q9QX01,89821,MGI:109528,Trpc1,"transient receptor potential cation channel, subfamily C, member 1",9 E4,NM_011643,NP_035773,Q61056,22063
vgic,78,Transient Receptor Potential channels,487,TRPC2,,,,"short transient receptor potential channel 2|trp2|TRPC2a|TRPC2b|transient receptor potential cation channel, subfamily C, member 2, pseudogene|transient receptor potential cation channel|transient receptor potential cation channel subfamily C member 2, pseudogene",12334,TRPC2,transient receptor potential cation channel subfamily C member 2 (pseudogene),11p15.4-15.3,,,,7221,628819,Trpc2,"transient receptor potential cation channel, subfamily C, member 2, pseudogene",1q32,,,Q9R283,64573,MGI:109527,Trpc2,"transient receptor potential cation channel, subfamily C, member 2",7 F1,NM_001109897|NM_011644,NP_001103367|NP_035774,Q9R244,22064
vgic,78,Transient Receptor Potential channels,488,TRPC3,,,,TRP3|short transient receptor potential channel 3|transient receptor protein 3|trp-related protein 3|transient receptor potential cation channel,12335,TRPC3,transient receptor potential cation channel subfamily C member 3,4q27,NM_001130698,NP_001124170,Q13507,7222,61973,Trpc3,"transient receptor potential cation channel, subfamily C, member 3",2q25,NM_021771,NP_068539,Q9JMI9,60395,MGI:109526,Trpc3,"transient receptor potential cation channel, subfamily C, member 3",3 B,NM_019510,NP_062383,Q9QZC1,22065
vgic,78,Transient Receptor Potential channels,489,TRPC4,,,,CCE1|TRP4|capacitative calcium entry channel 1|short transient receptor potential channel 4|transient receptor potential 4|STRPC4|transient receptor potential cation channel,12336,TRPC4,transient receptor potential cation channel subfamily C member 4,13q13.1-q13.2,NM_016179,NP_057263,Q9UBN4,7223,621276,Trpc4,"transient receptor potential cation channel, subfamily C, member 4",2q26,NM_001083115|NM_080396,NP_001076584|NP_536321,O35119,84494,MGI:109525,Trpc4,"transient receptor potential cation channel, subfamily C, member 4",3 D,NM_016984,NP_058680,Q9QUQ5,22066
